;wheat_mass;Longitude;Latitude;wheat_mass_categorical
339;6952.0;5.584848977931291;48.77773146216524;< 7000
340;7271.6;5.584841783355056;48.77774070729984;7000-8000
341;6874.8;5.584834588778819;48.77775007096009;< 7000
342;7685.1;5.584827394202586;48.7777594346186;7000-8000
343;7732.5;5.58482019962635;48.77776867974805;7000-8000
344;7995.8;5.584813184914521;48.77777804340308;7000-8000
345;8275.0;5.584805810473879;48.77778717000186;8000-9000
346;7465.8;5.58479879576205;48.77779677070789;7000-8000
347;7807.8;5.584791781050221;48.77780613435767;7000-8000
348;8158.3;5.584784586473987;48.77781549800571;8000-9000
349;8242.4;5.5847772120333445;48.77782486165201;8000-9000
350;8014.6;5.58477001745711;48.77783410676943;8000-9000
351;8162.6;5.584762643016469;48.77784323335802;8000-9000
352;8179.7;5.584755628304639;48.77785247847205;8000-9000
353;7856.4;5.5847480739995925;48.7778619606385;7000-8000
354;7723.3;5.584740879423357;48.77787132427613;7000-8000
355;7860.9;5.584733504982717;48.77788045085796;7000-8000
356;8326.4;5.584726490270887;48.77788981449214;8000-9000
357;8501.1;5.584719475559058;48.77789917812457;8000-9000
358;8123.2;5.5847124608472285;48.77790877880918;8000-9000
359;7653.0;5.584705086406587;48.7779179053842;7000-8000
360;7768.1;5.584697891830353;48.77792715048447;7000-8000
361;7912.3;5.584690517389711;48.77793651410993;7000-8000
362;7455.2;5.5846835026778825;48.77794587773365;7000-8000
363;7725.2;5.584676487966052;48.77795476724823;7000-8000
364;8578.8;5.584669653118629;48.77796318265391;8000-9000
365;8451.6;5.5846626384068;48.77797207216542;8000-9000
366;7946.8;5.584655803559376;48.77798119872893;7000-8000
367;7434.0;5.584648788847547;48.77799032529077;7000-8000
368;7729.9;5.584641774135719;48.77799921479748;7000-8000
369;7741.4;5.584634939288295;48.77800834135605;7000-8000
370;7201.0;5.5846282843052775;48.77801746791298;7000-8000
371;6557.9;5.58462162932226;48.77802659446823;< 7000
372;6443.6;5.58461461461043;48.77803572102183;< 7000
373;7373.2;5.584607599898601;48.778044610520496;7000-8000
374;7355.0;5.584600944915584;48.77805385559744;7000-8000
375;7145.6;5.584594289932567;48.77806286361948;7000-8000
376;6921.7;5.584587455085143;48.77807187163991;< 7000
377;6349.4;5.58458062023772;48.778081116711824;< 7000
378;7096.5;5.584574324983514;48.77809024325551;7000-8000
379;7790.1;5.584567490136091;48.77809960685055;7000-8000
